Game Name,UsesFromPositions,SiteState,Count,HiddenInfo,Stacking,Boardless,Stochastic,DeductionPuzzle,Score,Visited,Simultaneous,ThreeDimensions,NotAllPass,Card,LargePiece,SequenceCapture,Track,Rotation,Team,Bet,HashScores,HashAmounts,HashPhases,Graph,Vertex,Cell,Edge,Dominoes,LineOfPlay,MoveAgain,NotMarkovGame,Vote,Note,Loops,StepAdjacentDistance,StepOrthogonalDistance,StepDiagonalDistance,StepOffDistance,StepAllDistance,InternalLoopInTrack,UsesSwapRule,RepeatInGame,RepeatInTurn
EinStein Wurfelt Nicht,Yes,Yes,Yes,,,,Yes,,,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Gauntlet,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,
Gavalata,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Gyan Chaupar,Yes,Yes,,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Jungle,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Knightthrough,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Main Pacheh,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Pachisi,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,Yes,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Pagade Kayi Ata (Sixteen-handed),Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,,,Yes,,,,Yes,,,,,,,,,,Yes,,,
Pente Grammai,Yes,Yes,Yes,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Santorini,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,
Sneakthrough,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Tugi-Epfe,Yes,Yes,,,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,Yes,,Yes,Yes,,,,,,,,,,,,,Yes,,,
Bao Ki Arabu (Zanzibar 1),Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Bao Ki Arabu (Zanzibar 2),Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Hawalis,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Hus (Damara),Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
Mefuvha,Yes,,Yes,,,,,,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,
