Game,Ruleset,GameRuleset,Top Heuristic,Top Score
Hus (Damara),Ruleset/Wagner (Observed),Hus_Damara-Wagner,OwnRegionsCountPos,76.5
Kisolo (Lali),,Kisolo_Lali-,MaterialPos,50.0
Kisolo,Ruleset/Kisolo (Observed),Kisolo-Kisolo,PlayerRegionsProximityPos_2,58.333333333333336
Kisolo,Ruleset/Starting Position 1 (Observed),Kisolo-Starting_Position_1,MaterialNeg,57.95454545454545
Kisolo,Ruleset/Starting Position 2 (Observed),Kisolo-Starting_Position_2,MaterialNeg,57.95454545454545
Mefuvha,Ruleset/Venda (Observed),Mefuvha-,MobilitySimplePos,94.5
Misoro Tsoro (Additional Capture),Ruleset/Misoro Tsoro (Additional Capture) (Observed),Misoro_Tsoro_Additional_Capture-Misoro_Tsoro_Additional_Capture,MobilitySimplePos,87.14285714285714
Misoro Tsoro (Additional Capture),Ruleset/Extra Counters (Observed),Misoro_Tsoro_Additional_Capture-Extra_Counters,InfluencePos,90.0
Misoro Tsoro,Ruleset/Misoro Tsoro (Observed),Misoro_Tsoro-Misoro_Tsoro,MobilitySimplePos,93.33333333333333
Misoro Tsoro,Ruleset/Extra Counters (Observed),Misoro_Tsoro-Extra_Counters,InfluencePos,94.73684210526316
Msuwa wa Kunja,Ruleset/Msuwa wa Kunja (Observed),Msuwa_wa_Kunja-,MobilitySimplePos,93.75
Msuwa,Ruleset/Msuwa (Observed),Msuwa-,MobilitySimplePos,98.5
Musoro Tsoro,Ruleset/Musoro Tsoro (Observed),Musoro_Tsoro-,InfluencePos,97.75
Muvalavala (Luena),Ruleset/Luenas (Observed),Muvalavala_Luena-,MobilitySimplePos,87.66666666666667
Nchuwa,Ruleset/Atonga (Described),Nchuwa-,OwnRegionsCountPos,95.5
Ngolo,,Ngolo-,MobilitySimplePos,71.11111111111111
Owela (Benguela),Ruleset/Benguela (Described),Owela_Benguela-,InfluencePos,83.75
Sute,,Sute-,MobilitySimplePos,97.72727272727273
Tsoro (Additional Capture),Ruleset/Tsoro (Additional Capture) (Observed),Tsoro_Additional_Capture-,MobilitySimplePos,88.0952380952381
Tsoro (Reentered Captures),Ruleset/Tsoro (Reentered Captures) (Observed),Tsoro_Reentered_Captures-,MobilitySimplePos,50.833333333333336
Tsoro,Ruleset/Tsoro (Observed),Tsoro-,MobilitySimplePos,93.80952380952381
Katro,Ruleset/Katro (Observed),Katro-,OwnRegionsCountPos,89.41176470588235
Okwe (Achalla),,Okwe_Achalla-,OwnRegionsCountPos,100.0
Sat Gol,,Sat_Gol-,NullHeuristicPos,50.0
Abalala'e,,Abalalae-,MobilitySimplePos,66.75
Adidada,,Adidada-,MobilitySimplePos,97.6923076923077
Ako Okwe,Ruleset/Umuahia (Observed),Ako_Okwe-Umuahia,OwnRegionsCountPos,93.6842105263158
Ako Okwe,Ruleset/Murray (Observed),Ako_Okwe-Murray,OwnRegionsCountPos,97.61904761904762
Alitev,,Alitev-,OwnRegionsCountPos,77.5
Andada,Ruleset/Kunama (Described),Andada-,MobilitySimplePos,81.11111111111111
Andot,,Andot-,InfluencePos,60.0
Aw-li On-nam Ot-tjin,Ruleset/Two Counters (Observed),Aw-li_On-nam_Ot-tjin-Two_Counters,OwnRegionsCountNeg,68.82352941176471
Aw-li On-nam Ot-tjin,Ruleset/Three Counters (Observed),Aw-li_On-nam_Ot-tjin-Three_Counters,OwnRegionsCountPos,92.10526315789474
Aw-li On-nam Ot-tjin,Ruleset/Four Counters (Observed),Aw-li_On-nam_Ot-tjin-Four_Counters,OwnRegionsCountPos,99.52380952380952
Aw-li On-nam Ot-tjin,Ruleset/Five Counters (Observed),Aw-li_On-nam_Ot-tjin-Five_Counters,OwnRegionsCountPos,96.84210526315789
Awari,,Awari-,MobilitySimplePos,87.04545454545455
Baqura,,Baqura-,OwnRegionsCountPos,60.26315789473684
Bosh,,Bosh-,MobilitySimplePos,65.55555555555556
Boukerourou,,Boukerourou-,OwnRegionsCountPos,73.26086956521739
Chongka',,Chongka-,PlayerSiteMapCountPos,80.23809523809524
Chungcajon,,Chungcajon-,PlayerSiteMapCountPos,94.72222222222223
Dabuda,Ruleset/Afar (Observed),Dabuda-Afar,OwnRegionsCountPos,81.75
Dabuda,Ruleset/Damohoita (Observed),Dabuda-Damohoita,OwnRegionsCountPos,85.88235294117646
Das Bohnenspiel,,Das_Bohnenspiel-,PlayerSiteMapCountPos,92.94117647058823
Duene,,Duene-,PlayerSiteMapCountPos,74.0
En Gehe,Ruleset/Merker (Observed),En_Gehe-,OwnRegionsCountPos,97.77777777777777
English Wari (St. Lucia),,English_Wari_St._Lucia-,PlayerSiteMapCountPos,99.0909090909091
French Wari,,French_Wari-,InfluencePos,61.578947368421055
Galatjang,,Galatjang-,InfluencePos,51.0
Halusa,,Halusa-,OwnRegionsCountNeg,67.89473684210526
Hoyito,Ruleset/Hoyito I (Described),Hoyito-,LineCompletionHeuristicPos,59.5
I,Ruleset/I (Observed),I-,InfluencePos,76.42857142857143
Intotoi,,Intotoi-,InfluencePos,72.5
J'odu,,Jodu-,PlayerSiteMapCountPos,79.31818181818181
Kalah,,Kalah-,PlayerSiteMapCountPos,97.61904761904762
Kanji Guti,,Kanji_Guti-,MobilitySimpleNeg,50.0
Kapana Bona,,Kapana_Bona-,InfluencePos,93.25
Kara,,Kara-,OwnRegionsCountPos,92.89473684210526
Mangala (Turkey),Ruleset/Seven Holes (Observed),Mangala_Turkey-Seven_Holes,InfluencePos,83.4090909090909
Mangala (Turkey),Ruleset/Six Holes (Observed),Mangala_Turkey-Six_Holes,InfluencePos,84.21052631578948
Mankala,,Mankala-,MobilitySimplePos,62.63157894736842
Meusueb,,Meusueb-,PlayerSiteMapCountPos,85.52631578947368
Oure Ngat,,Oure_Ngat-,MobilitySimpleNeg,50.0
Oware,Ruleset/Wari (Observed),Oware-Wari,PlayerSiteMapCountPos,97.25
Oware,Ruleset/Awari (Suggested),Oware-Awari,PlayerSiteMapCountPos,98.15789473684211
Pachgarhwa,,Pachgarhwa-,InfluencePos,73.94736842105263
Sungka,,Sungka-,PlayerSiteMapCountPos,84.34782608695652
Tap Urdy,,Tap_Urdy-,LineCompletionHeuristicPos,57.5
Tapata,,Tapata-,MobilitySimplePos,68.5
Toguz Kumalak,,Toguz_Kumalak-,PlayerSiteMapCountPos,99.81481481481481
Um el Tuweisat,,Um_el_Tuweisat-,InfluencePos,78.15789473684211
Um el-Bagara,,Um_el-Bagara-,MobilitySimplePos,97.3913043478261
Unnee Tugalluulax,Ruleset/Popova (Scholarly),Unnee_Tugalluulax-Popova,OwnRegionsCountPos,95.71428571428571
Unnee Tugalluulax,Ruleset/Mancala World (Suggested),Unnee_Tugalluulax-Mancala_World,OwnRegionsCountPos,94.28571428571429
Uril,,Uril-,PlayerSiteMapCountPos,99.78260869565217
Vai Lung Thlan,,Vai_Lung_Thlan-,OwnRegionsCountNeg,83.6842105263158
Waurie,,Waurie-,SidesProximityPos,58.333333333333336
Whyo,,Whyo-,PlayerSiteMapCountPos,100.0
Woli,,Woli-,MobilitySimplePos,92.0
Wore,,Wore-,MobilitySimplePos,82.89473684210526
Wouri,,Wouri-,OwnRegionsCountPos,68.63636363636364
Yovodi,,Yovodi-,PlayerSiteMapCountPos,79.5
Yovodji,,Yovodji-,InfluencePos,69.6875
Amazons,,Amazons-,InfluencePos,96.47058823529412
Bamboo,,Bamboo-,SidesProximityPos,98.5
Blue Nile,,Blue_Nile-,MobilitySimpleNeg,56.666666666666664
Cram,,Cram-,MobilitySimpleNeg,56.8421052631579
Do Guti,,Do_Guti-,NullHeuristicPos,50.0
Domineering,,Domineering-,MobilitySimplePos,87.89473684210526
Dorvon Cag,,Dorvon_Cag-,LineCompletionHeuristicNeg,69.0
French Military Game,Ruleset/Gardner (Described),French_Military_Game-Gardner,SidesProximityNeg,63.333333333333336
French Military Game,Ruleset/Default (Described),French_Military_Game-Default,SidesProximityNeg,70.52631578947368
Gala (Buginese),,Gala_Buginese-,MaterialPos,89.0
Gala,,Gala-,InfluencePos,71.25
Gopher,,Gopher-,MobilitySimplePos,80.47619047619048
Gurvan Xudag,,Gurvan_Xudag-,InfluencePos,72.85714285714286
Haretavl,,Haretavl-,InfluencePos,66.9047619047619
Hex Amazons,,Hex_Amazons-,MobilitySimplePos,95.0
Ho-Bag Gonu,,Ho-Bag_Gonu-,PlayerRegionsProximityNeg_1,60.0
Hyvn aetter Hare,,Hyvn_aetter_Hare-,NullHeuristicPos,61.666666666666664
Isolation,,Isolation-,InfluencePos,87.77777777777777
Janes Soppi,,Janes_Soppi-,MaterialPos,64.16666666666667
L Game,,L_Game-,MobilitySimplePos,90.68181818181819
La Liebre Perseguida,,La_Liebre_Perseguida-,LineCompletionHeuristicPos,70.0
Madelinette,,Madelinette-,CentreProximityPos,89.47368421052632
Mu Torere,Ruleset/Simple (Suggested),Mu_Torere-Simple,NullHeuristicPos,50.0
Mu Torere,Ruleset/Complete (Observed),Mu_Torere-Complete,CentreProximityPos,84.72222222222223
NoGo,,NoGo-,MobilitySimplePos,95.5
Oumoul Kono,,Oumoul_Kono-,NullHeuristicPos,50.0
Pathway,,Pathway-,CentreProximityPos,69.5
Pong Hau K'i,,Pong_Hau_Ki-,NullHeuristicPos,50.0
Quantum Leap,,Quantum_Leap-,SidesProximityNeg,84.28571428571429
Snowpaque,,Snowpaque-,CentreProximityNeg,56.666666666666664
Spots,,Spots-,MaterialPos,55.5
Susan,,Susan-,MobilitySimplePos,71.25
T'uk T'uk,Ruleset/T'uk T'uk (Observed),Tuk_Tuk-,NullHeuristicPos,50.0
Temeen Tavag,Ruleset/Temeen Tavag (Observed),Temeen_Tavag-Temeen_Tavag,NullHeuristicPos,50.0
Temeen Tavag,Ruleset/Dorvon Bux (Observed),Temeen_Tavag-Dorvon_Bux,NullHeuristicPos,50.0
Tron,,Tron-,CornerProximityNeg,62.0
Tugul Shodra,,Tugul_Shodra-,CornerProximityNeg,79.75
Abak,,Abak-,MaterialPos,64.44444444444444
Chameleon,,Chameleon-,MaterialPos,88.57142857142857
Coil,,Coil-,CornerProximityPos,75.23809523809524
Cross,,Cross-,LineCompletionHeuristicPos,68.42105263157895
Crossway,,Crossway-,MobilitySimplePos,80.0
DuploHex,,DuploHex-,LineCompletionHeuristicPos,87.0
Esa Hex,,Esa_Hex-,LineCompletionHeuristicPos,76.84210526315789
Gale,,Gale-,LineCompletionHeuristicPos,82.94117647058823
Gonnect,,Gonnect-,LineCompletionHeuristicPos,77.77777777777777
Havannah,,Havannah-,CentreProximityPos,94.54545454545455
Hex,,Hex-,LineCompletionHeuristicPos,77.0
Master Y,,Master_Y-,LineCompletionHeuristicPos,93.15789473684211
Pippinzip (Zipline variant),,Pippinzip_Zipline_variant-,MobilitySimplePos,68.0
Pippinzip,,Pippinzip-,MobilitySimplePos,67.77777777777777
Tabu Y,,Tabu_Y-,LineCompletionHeuristicPos,73.80952380952381
Three-Player Hex,,Three-Player_Hex-,RegionProximityNeg_1,65.0277777777778
Trax,,Trax-,LineCompletionHeuristicNeg,70.78125
