Game,Ruleset,GameRuleset,Top Agent,Top Score
Senet,Ruleset/Kendall Starting Throw Trap (Scholarly),Senet-Kendall_Starting_Throw_Trap,MAST,76.0
Senet,Ruleset/Kendall Starting Throw Home Row (Scholarly),Senet-Kendall_Starting_Throw_Home_Row,ProgressiveHistory,72.0
Senet,Ruleset/Kendall Five Pieces Trap (Scholarly),Senet-Kendall_Five_Pieces_Trap,MAST,78.0
Senet,Ruleset/Kendall Five Pieces Home Row (Scholarly),Senet-Kendall_Five_Pieces_Home_Row,ProgressiveHistory,69.0
Senet,Ruleset/Kendall Five Pieces Starting Throw Home Row (Scholarly),Senet-Kendall_Five_Pieces_Starting_Throw_Home_Row,UCT,65.0
Senet,Ruleset/Kendall Five Pieces Trap Home Row (Scholarly),Senet-Kendall_Five_Pieces_Trap_Home_Row,ProgressiveHistory,68.0
Senet,Ruleset/Kendall Five Pieces Starting Throw Trap (Scholarly),Senet-Kendall_Five_Pieces_Starting_Throw_Trap,MAST,71.0
Senet,Ruleset/Kendall Starting Throw Trap Home Row (Scholarly),Senet-Kendall_Starting_Throw_Trap_Home_Row,ProgressiveHistory,66.5
Senet,Ruleset/Kendall All Options (Scholarly),Senet-Kendall_All_Options,MAST,67.5
Senet,Ruleset/Bell (Suggested),Senet-Bell,ProgressiveHistory,69.0
Senet,Ruleset/Piccione (Scholarly),Senet-Piccione,MAST,71.0
Senet,Ruleset/Jequier (Scholarly),Senet-Jequier,MAST,71.5
Tawula,,Tawula-,AlphaBeta,90.0
Thaayam,,Thaayam-,ProgressiveHistory,56.29166666666657
Uturu Uturu Kaida,Ruleset/Uturu Uturu Kaida (Observed),Uturu_Uturu_Kaida-,AlphaBeta,52.42433293508566
XII Scripta,Ruleset/Murray (Suggested),XII_Scripta-Murray,AlphaBeta,100.0
Yahoudieh,,Yahoudieh-,MC-GRAVE,59.0
Aralzaa,,Aralzaa-,UCT,64.0
Bajr,Ruleset/Bajr Small (Observed),Bajr-Bajr_Small,AlphaBeta,75.0
Bajr,Ruleset/Bajr Medium (Observed),Bajr-Bajr_Medium,AlphaBeta,71.0
Bajr,Ruleset/Bajr Large (Observed),Bajr-Bajr_Large,AlphaBeta,51.0
Camelot,,Camelot-,MAST,74.0
Chinese Checkers,,Chinese_Checkers-,BRS+,65.07537688442211
Grasshopper,,Grasshopper-,AlphaBeta,80.0
Halma,,Halma-,AlphaBeta,50.5
O-Pat-Kono,,O-Pat-Kono-,MC-GRAVE,62.5
Salta,,Salta-,AlphaBeta,50.0
Suffragetto,,Suffragetto-,MAST,60.0
Los Escaques,,Los_Escaques-,ProgressiveHistory,51.23512805001011
Arimaa,,Arimaa-,AlphaBeta,96.0
Ashta-kashte,Ruleset/Falkener (Described),Ashta-kashte-,MAST,71.875
Ashtapada,Ruleset/Kile (Suggested),Ashtapada-Kile,ProgressiveHistory,72.0
Bison,,Bison-,AlphaBeta,74.0
Breakthrough,,Breakthrough-,AlphaBeta,90.0
Conspirateurs,,Conspirateurs-,MAST,74.5
EinStein Wurfelt Nicht,,EinStein_Wurfelt_Nicht-,UCT,67.0
Gauntlet,,Gauntlet-,UCT,69.0
Gavalata,Ruleset/Gavalata (Observed),Gavalata-,MAST,62.666666666666586
Gyan Chaupar,,Gyan_Chaupar-,AlphaBeta,53.875000000000064
Jeson Mor,,Jeson_Mor-,MAST,68.0
Jungle,,Jungle-,AlphaBeta,98.0
Kawasukuts,Ruleset/Kawasukuts (Observed),Kawasukuts-Kawasukuts,MC-GRAVE,60.0
Kawasukuts,Ruleset/Door Hazard (Observed),Kawasukuts-Door_Hazard,ProgressiveHistory,51.20833333333333
King's Valley,,Kings_Valley-,AlphaBeta,100.0
Knightthrough,,Knightthrough-,AlphaBeta,96.0
Main Pacheh,Ruleset/Main Pacheh (Described),Main_Pacheh-,UCT,62.62500000000006
Pachisi,Ruleset/Wikipedia (Described),Pachisi-Wikipedia,MAST,76.58333333333367
Pagade Kayi Ata (Sixteen-handed),Ruleset/SIxteen-handed (Described),Pagade_Kayi_Ata_Sixteen-handed-,MC-GRAVE,52.48333333333332
Pasa,,Pasa-,ProgressiveHistory,53.0
Patol,Ruleset/Patol (Observed),Patol-Patol,MC-GRAVE,57.0
Patol,Ruleset/Captureless (Observed),Patol-Captureless,MC-GRAVE,57.0
Pente Grammai,Ruleset/Locos Ludi Race (Scholarly),Pente_Grammai-Locos_Ludi_Race,MC-GRAVE,59.5
Pente Grammai,Ruleset/Locus Ludi  Knock-Off Mode (Scholarly),Pente_Grammai-Locus_Ludi__Knock-Off_Mode,MAST,65.0
Pylos,,Pylos-,UCT,84.0
Quoridor,,Quoridor-,AlphaBeta,92.0
Santorini,,Santorini-,MAST,94.0
Sneakthrough,,Sneakthrough-,MAST,86.25
Squadro,,Squadro-,MAST,79.0
Tsaydithl,Ruleset/Tsaydithl (Described),Tsaydithl-,UCT,56.0
Tugi-Epfe,,Tugi-Epfe-,AlphaBeta,57.5
Bao Ki Arabu (Zanzibar 1),,Bao_Ki_Arabu_Zanzibar_1-,UCT,75.5
Bao Ki Arabu (Zanzibar 2),,Bao_Ki_Arabu_Zanzibar_2-,MAST,80.0
Chiana wa Bwalo,Ruleset/Chiana wa Bwalo (Observed),Chiana_wa_Bwalo-,UCT,67.1875
Hawalis,,Hawalis-,AlphaBeta,99.5
Hus (Damara),Ruleset/Damara (Observed),Hus_Damara-Damara,UCT,61.5
Hus (Damara),Ruleset/Wagner (Observed),Hus_Damara-Wagner,UCT,78.0
Kisolo (Lali),,Kisolo_Lali-,AlphaBeta,50.0
Kisolo,Ruleset/Kisolo (Observed),Kisolo-Kisolo,UCT,87.0
Kisolo,Ruleset/Starting Position 1 (Observed),Kisolo-Starting_Position_1,MAST,80.0
Kisolo,Ruleset/Starting Position 2 (Observed),Kisolo-Starting_Position_2,ProgressiveHistory,79.0
Mefuvha,Ruleset/Venda (Observed),Mefuvha-,ProgressiveHistory,85.0
Misoro Tsoro (Additional Capture),Ruleset/Misoro Tsoro (Additional Capture) (Observed),Misoro_Tsoro_Additional_Capture-Misoro_Tsoro_Additional_Capture,AlphaBeta,96.0
Misoro Tsoro (Additional Capture),Ruleset/Extra Counters (Observed),Misoro_Tsoro_Additional_Capture-Extra_Counters,AlphaBeta,87.0
Misoro Tsoro,Ruleset/Misoro Tsoro (Observed),Misoro_Tsoro-Misoro_Tsoro,AlphaBeta,92.0
Misoro Tsoro,Ruleset/Extra Counters (Observed),Misoro_Tsoro-Extra_Counters,AlphaBeta,94.0
Msuwa wa Kunja,Ruleset/Msuwa wa Kunja (Observed),Msuwa_wa_Kunja-,AlphaBeta,95.0
Msuwa,Ruleset/Msuwa (Observed),Msuwa-,AlphaBeta,99.0
Musoro Tsoro,Ruleset/Musoro Tsoro (Observed),Musoro_Tsoro-,AlphaBeta,97.0
Muvalavala (Luena),Ruleset/Luenas (Observed),Muvalavala_Luena-,MAST,81.0
Muvalavala (Quioco),Ruleset/Quiocos (Described),Muvalavala_Quioco-,ProgressiveHistory,77.5
Nchuwa,Ruleset/Atonga (Described),Nchuwa-,AlphaBeta,92.5
Ngolo,,Ngolo-,AlphaBeta,75.0
Owela (Benguela),Ruleset/Benguela (Described),Owela_Benguela-,UCT,79.0
Sute,,Sute-,ProgressiveHistory,86.0
Tsoro (Additional Capture),Ruleset/Tsoro (Additional Capture) (Observed),Tsoro_Additional_Capture-,AlphaBeta,90.0
Tsoro (Reentered Captures),Ruleset/Tsoro (Reentered Captures) (Observed),Tsoro_Reentered_Captures-,AlphaBeta,100.0
Tsoro,Ruleset/Tsoro (Observed),Tsoro-,AlphaBeta,93.0
Katro,Ruleset/Katro (Observed),Katro-,AlphaBeta,76.0
Okwe (Achalla),,Okwe_Achalla-,AlphaBeta,100.0
Sat Gol,,Sat_Gol-,AlphaBeta,50.0
Abalala'e,,Abalalae-,MAST,79.0
Adidada,,Adidada-,AlphaBeta,98.0
Ako Okwe,Ruleset/Umuahia (Observed),Ako_Okwe-Umuahia,AlphaBeta,86.5
Ako Okwe,Ruleset/Murray (Observed),Ako_Okwe-Murray,AlphaBeta,79.5
Alitev,,Alitev-,ProgressiveHistory,79.0
